Temps,Niveau d'oxygène,Fréquence du pouls,Mouvement,Rappel O2,Rappel PR
22:55:51 Sep 18 2024,92,65,0,0,0
22:55:55 Sep 18 2024,92,65,0,0,0
22:55:59 Sep 18 2024,92,65,18,0,0
22:56:03 Sep 18 2024,92,65,10,0,0
22:56:07 Sep 18 2024,92,77,0,0,0
22:56:11 Sep 18 2024,92,88,0,0,0
22:56:15 Sep 18 2024,92,88,1,0,0
22:56:19 Sep 18 2024,92,88,0,0,0
22:56:23 Sep 18 2024,92,87,0,0,0
22:56:27 Sep 18 2024,92,90,0,0,0
22:56:31 Sep 18 2024,91,71,0,0,0
22:56:35 Sep 18 2024,91,62,0,0,0
22:56:39 Sep 18 2024,91,62,4,0,0
22:56:43 Sep 18 2024,91,54,0,0,0
22:56:47 Sep 18 2024,91,58,0,0,0
22:56:51 Sep 18 2024,91,62,0,0,0
22:56:55 Sep 18 2024,92,61,0,0,0
22:56:59 Sep 18 2024,93,60,0,0,0
22:57:03 Sep 18 2024,92,62,0,0,0
22:57:07 Sep 18 2024,92,62,0,0,0
22:57:11 Sep 18 2024,92,63,0,0,0
22:57:15 Sep 18 2024,92,62,0,0,0
22:57:19 Sep 18 2024,92,65,0,0,0
22:57:23 Sep 18 2024,92,71,0,0,0
22:57:27 Sep 18 2024,92,73,0,0,0
22:57:31 Sep 18 2024,92,70,0,0,0
22:57:35 Sep 18 2024,92,67,0,0,0
22:57:39 Sep 18 2024,92,65,0,0,0
22:57:43 Sep 18 2024,92,62,0,0,0
22:57:47 Sep 18 2024,92,60,0,0,0
22:57:51 Sep 18 2024,92,62,6,0,0
22:57:55 Sep 18 2024,92,63,0,0,0
22:57:59 Sep 18 2024,92,67,0,0,0
22:58:03 Sep 18 2024,92,74,0,0,0
22:58:07 Sep 18 2024,92,78,0,0,0
22:58:11 Sep 18 2024,93,69,0,0,0
22:58:15 Sep 18 2024,92,62,0,0,0
22:58:19 Sep 18 2024,92,61,0,0,0
22:58:23 Sep 18 2024,92,59,0,0,0
22:58:27 Sep 18 2024,93,60,0,0,0
22:58:31 Sep 18 2024,93,62,0,0,0
22:58:35 Sep 18 2024,93,65,0,0,0
22:58:39 Sep 18 2024,93,65,0,0,0
22:58:43 Sep 18 2024,94,71,0,0,0
22:58:47 Sep 18 2024,94,72,0,0,0
22:58:51 Sep 18 2024,93,71,1,0,0
22:58:55 Sep 18 2024,93,71,16,0,0
22:58:59 Sep 18 2024,93,65,0,0,0
22:59:03 Sep 18 2024,93,59,0,0,0
22:59:07 Sep 18 2024,93,58,0,0,0
22:59:11 Sep 18 2024,93,57,0,0,0
22:59:15 Sep 18 2024,93,57,0,0,0
22:59:19 Sep 18 2024,93,58,0,0,0
22:59:23 Sep 18 2024,94,62,0,0,0
22:59:27 Sep 18 2024,93,68,0,0,0
22:59:31 Sep 18 2024,93,66,0,0,0
22:59:35 Sep 18 2024,92,64,0,0,0
22:59:39 Sep 18 2024,93,65,0,0,0
22:59:43 Sep 18 2024,93,63,0,0,0
22:59:47 Sep 18 2024,93,61,0,0,0
22:59:51 Sep 18 2024,93,61,0,0,0
22:59:55 Sep 18 2024,93,62,0,0,0
22:59:59 Sep 18 2024,93,62,0,0,0
23:00:03 Sep 18 2024,93,66,0,0,0
23:00:07 Sep 18 2024,93,66,0,0,0
23:00:11 Sep 18 2024,93,64,0,0,0
23:00:15 Sep 18 2024,93,64,0,0,0
23:00:19 Sep 18 2024,93,62,0,0,0
23:00:23 Sep 18 2024,93,63,0,0,0
23:00:27 Sep 18 2024,93,63,0,0,0
23:00:31 Sep 18 2024,93,62,0,0,0
23:00:35 Sep 18 2024,93,62,0,0,0
23:00:39 Sep 18 2024,93,68,0,0,0
23:00:43 Sep 18 2024,93,69,0,0,0
23:00:47 Sep 18 2024,93,65,0,0,0
23:00:51 Sep 18 2024,93,65,0,0,0
23:00:55 Sep 18 2024,93,62,0,0,0
23:00:59 Sep 18 2024,93,59,0,0,0
23:01:03 Sep 18 2024,93,60,0,0,0
23:01:07 Sep 18 2024,93,60,0,0,0
23:01:11 Sep 18 2024,93,61,0,0,0
23:01:15 Sep 18 2024,93,61,0,0,0
23:01:19 Sep 18 2024,93,60,0,0,0
23:01:23 Sep 18 2024,93,61,0,0,0
23:01:27 Sep 18 2024,93,62,0,0,0
23:01:31 Sep 18 2024,93,63,0,0,0
23:01:35 Sep 18 2024,93,65,0,0,0
23:01:39 Sep 18 2024,93,71,0,0,0
23:01:43 Sep 18 2024,92,73,0,0,0
23:01:47 Sep 18 2024,92,73,5,0,0
23:01:51 Sep 18 2024,92,73,1,0,0
23:01:55 Sep 18 2024,94,76,0,0,0
23:01:59 Sep 18 2024,94,79,0,0,0
23:02:03 Sep 18 2024,92,76,0,0,0
23:02:07 Sep 18 2024,89,68,0,0,0
23:02:11 Sep 18 2024,90,61,0,0,0
23:02:15 Sep 18 2024,92,57,0,0,0
23:02:19 Sep 18 2024,92,56,0,0,0
23:02:23 Sep 18 2024,92,57,0,0,0
23:02:27 Sep 18 2024,93,60,0,0,0
23:02:31 Sep 18 2024,93,66,0,0,0
23:02:35 Sep 18 2024,92,65,0,0,0
23:02:39 Sep 18 2024,92,60,0,0,0
23:02:43 Sep 18 2024,93,60,0,0,0
23:02:47 Sep 18 2024,93,60,0,0,0
23:02:51 Sep 18 2024,93,61,0,0,0
23:02:55 Sep 18 2024,93,61,0,0,0
