Temps,Niveau d'oxygène,Fréquence du pouls,Mouvement,Rappel O2,Rappel PR
22:32:43 Oct 01 2024,93,58,0,0,0
22:32:47 Oct 01 2024,93,58,0,0,0
22:32:51 Oct 01 2024,92,60,0,0,0
22:32:55 Oct 01 2024,92,62,0,0,0
22:32:59 Oct 01 2024,92,61,0,0,0
22:33:03 Oct 01 2024,93,61,0,0,0
22:33:07 Oct 01 2024,93,62,0,0,0
22:33:11 Oct 01 2024,93,62,0,0,0
22:33:15 Oct 01 2024,93,66,0,0,0
22:33:19 Oct 01 2024,93,64,0,0,0
22:33:23 Oct 01 2024,93,61,0,0,0
22:33:27 Oct 01 2024,93,62,0,0,0
22:33:31 Oct 01 2024,93,64,0,0,0
22:33:35 Oct 01 2024,93,63,0,0,0
22:33:39 Oct 01 2024,93,58,0,0,0
22:33:43 Oct 01 2024,93,59,0,0,0
22:33:47 Oct 01 2024,92,59,0,0,0
22:33:51 Oct 01 2024,92,58,0,0,0
22:33:55 Oct 01 2024,92,61,0,0,0
22:33:59 Oct 01 2024,93,62,0,0,0
22:34:03 Oct 01 2024,93,65,0,0,0
22:34:07 Oct 01 2024,93,67,0,0,0
22:34:11 Oct 01 2024,93,67,0,0,0
22:34:15 Oct 01 2024,93,68,0,0,0
22:34:19 Oct 01 2024,93,67,0,0,0
22:34:23 Oct 01 2024,92,66,0,0,0
22:34:27 Oct 01 2024,92,65,8,0,0
22:34:31 Oct 01 2024,92,65,6,0,0
22:34:35 Oct 01 2024,92,65,3,0,0
22:34:39 Oct 01 2024,92,65,4,0,0
22:34:43 Oct 01 2024,92,65,3,0,0
22:34:47 Oct 01 2024,92,65,21,0,0
22:34:51 Oct 01 2024,92,65,8,0,0
22:34:55 Oct 01 2024,93,68,0,0,0
22:34:59 Oct 01 2024,93,71,0,0,0
22:35:03 Oct 01 2024,92,69,0,0,0
22:35:07 Oct 01 2024,90,66,0,0,0
22:35:11 Oct 01 2024,91,60,0,0,0
22:35:15 Oct 01 2024,92,56,0,0,0
22:35:19 Oct 01 2024,93,57,0,0,0
22:35:23 Oct 01 2024,93,62,0,0,0
22:35:27 Oct 01 2024,93,61,0,0,0
22:35:31 Oct 01 2024,92,57,0,0,0
22:35:35 Oct 01 2024,93,57,0,0,0
22:35:39 Oct 01 2024,93,57,0,0,0
22:35:43 Oct 01 2024,93,56,0,0,0
22:35:47 Oct 01 2024,93,58,0,0,0
22:35:51 Oct 01 2024,93,58,0,0,0
22:35:55 Oct 01 2024,93,60,0,0,0
22:35:59 Oct 01 2024,93,61,0,0,0
22:36:03 Oct 01 2024,92,62,0,0,0
22:36:07 Oct 01 2024,92,62,0,0,0
22:36:11 Oct 01 2024,92,62,0,0,0
22:36:15 Oct 01 2024,92,60,0,0,0
22:36:19 Oct 01 2024,92,59,0,0,0
22:36:23 Oct 01 2024,92,59,0,0,0
22:36:27 Oct 01 2024,92,59,0,0,0
22:36:31 Oct 01 2024,91,60,0,0,0
22:36:35 Oct 01 2024,91,60,0,0,0
22:36:39 Oct 01 2024,91,59,0,0,0
22:36:43 Oct 01 2024,91,61,0,0,0
22:36:47 Oct 01 2024,92,60,0,0,0
22:36:51 Oct 01 2024,93,59,0,0,0
22:36:55 Oct 01 2024,93,57,0,0,0
22:36:59 Oct 01 2024,92,56,0,0,0
22:37:03 Oct 01 2024,91,58,0,0,0
22:37:07 Oct 01 2024,90,62,0,0,0
22:37:11 Oct 01 2024,90,61,0,0,0
22:37:15 Oct 01 2024,91,56,0,0,0
22:37:19 Oct 01 2024,92,55,0,0,0
22:37:23 Oct 01 2024,92,57,0,0,0
